"","Phrase","Total trials"
"86","on the borderline of significance",31
"87","weak significance",31
"88","partially significant",25
"89","strong trend toward significance",25
"90","approached conventional levels of significance",24
"91","narrowly missed significance",24
"92","a strong trend toward significance",23
"93","not conventionally significant",22
"94","a pronounced trend",20
"95","just failed to be significant",20
"96","tendency toward statistical significance",20
"97","marginally significant tendency",19
"98","not highly significant",19
"99","a slightly increasing trend",18
"100","an adverse trend",18
"101","an expected trend",18
"102","tend to significant",18
"103","an unfavorable trend",17
"104","only slightly significant",17
"105","close to the level of significance",16
"106","just failed significance",16
"107","partly significant",16
"108","barely missed statistical significance",15
"109","very close to significant",15
"110","an evident trend",14
"111","not formally significant",14
"112","reached near significance",14
"113","a reliable trend",13
"114","reasonably significant",13
"115","on the border of significance",12
"116","suggestively significant",12
"117","at the margin of statistical significance",11
"118","did not quite achieve significance",11
"119","near to statistical significance",11
"120","almost insignificant",10
"121","close to the limit of significance",10
"122","not fully significant",10
"123","somewhat significant",10
"124","a marginal trend toward significance",9
"125","a statistical trend toward significance",9
"126","a trend that approached significance",9
"127","an unexplained trend",9
"128","just failing to reach statistical significance",9
"129","not strongly significant",9
"130","not that significant",9
"131","slight significance",9
"132","almost achieved significance",8
"133","approaching clinical significance",8
"134","quasi-significant",8
"135","a worrying trend",7
"136","almost clinically significant",7
"137","appeared to be marginally significant",7
"138","borderline level of statistical significance",7
"139","not clearly significant",7
"140","not quite reach the level of significance",7
"141","not strictly significant",7
"142","on the margin of significance",7
"143","on the threshold of significance",7
"144","trend significance level",7
"145","very nearly significant",7
"146","almost attained significance",6
"147","equivocal significance",6
"148","possibly statistically significant",6
"149","probably not statistically significant",6
"150","scarcely significant",6
"151","suggestive of statistical significance",6
"152","weakly statistically significant",6
"153","a weak trend toward significance",5
"154","at the edge of significance",5
"155","just marginally significant",5
"156","nearly significant tendency",5
"157","questionably significant",5
"158","slightly insignificant",5
"159","a trend close to significance",4
"160","almost approached significance",4
"161","bordered on significant",4
"162","borderline significant trends",4
"163","indeterminate significance",4
"164","just borderline significant",4
"165","just missing significance",4
"166","on the cusp of significance",4
"167","on the edge of significance",4
"168","partial significance",4
"169","trending towards significant",4
"170","a distinct trend toward significance",3
"171","a slight trend toward significance",3
"172","an associative trend",3
"173","an elevated trend",3
"174","an established trend",3
"175","approached our criterion of significance",3
"176","approximately significant",3
"177","arguably significant",3
"178","better trends of improvement",3
"179","bordered on being significant",3
"180","closely significant",3
"181","did not quite reach conventional levels of statistical significance",3
"182","effectively significant",3
"183","fell slightly short of significance",3
"184","felt short of significance",3
"185","just missed being statistically significant",3
"186","not significant by conventional standards",3
"187","on the verge of significance",3
"188","verging on significance",3
"189","virtually significant",3
"190","a nonsignificant trend toward significance",2
"191","a numerical increasing trend",2
"192","a robust trend toward significance",2
"193","almost significant tendency",2
"194","approaching but not reaching significance",2
"195","approaching conventional statistical significance",2
"196","at the margin of significance",2
"197","did not quite reach a statistically significant level",2
"198","fairly close to significance",2
"199","fell narrowly short of significance",2
"200","indicative significance",2
"201","just beyond significance",2
"202","just escaped significance",2
"203","just shy of significance",2
"204","leaning towards significance",2
"205","narrowly failed significance",2
"206","nearly reached a significant level",2
"207","trend bordering on statistical significance",2
"208","trend in the direction of significance",2
"209","weakened significance",2
"210","a certain trend toward significance",1
"211","a favourable statistical trend",1
"212","a little significant",1
"213","a possible trend toward significance",1
"214","a substantial trend toward significance",1
"215","a trend significance level",1
"216","a very slight trend toward significance",1
"217","almost became significant",1
"218","almost but not quite significant",1
"219","approached but fell short of significance",1
"220","approaching borderline significance",1
"221","approaching conventional significance levels",1
"222","approaching marginal significance",1
"223","approaching, but not reaching, significance",1
"224","approximating significance",1
"225","at the limits of significance",1
"226","at the verge of significance",1
"227","barely escaped statistical significance",1
"228","barely insignificant",1
"229","barely not statistically significant",1
"230","bordered on being statistically significant",1
"231","borderline conventional significance",1
"232","close to the margin of statistical significance",1
"233","closely not significant",1
"234","essentially significant",1
"235","failed to reach significance on this occasion",1
"236","fell barely short of significance",1
"237","fell only marginally short of significance",1
"238","in the verge of significance",1
"239","just barely failed to reach significance",1
"240","just fails to reach conventional levels of statistical significance",1
"241","just outside the bounds of significance",1
"242","just outside the level of significance",1
"243","just over the limits of statistical significance",1
"244","narrowly escaped significance",1
"245","narrowly missed the significance level",1
"246","near nominal significance",1
"247","near-marginal significance",1
"248","nearly reaching the level of significance",1
"249","not completely significant",1
"250","not entirely significant",1
"251","not especially significant",1
"252","not globally significant",1
"253","not markedly significant",1
"254","not non-significant",1
"255","not overly significant",1
"256","not unequivocally significant",1
"257","only just missed significance at the 5% level",1
"258","only slightly missed the level of significance",1
"259","only slightly missed the significance level",1
"260","rather marginal significance",1
"261","significant to some degree",1
"262","slight evidence of significance",1
"263","slightly missed being of statistical significance",1
"264","slightly missed statistical significance",1
"265","slightly not significant",1
"266","slightly outside the range of significance",1
"267","technically not significant",1
"268","tended to approach significance",1
"269","verged on being significant",1
"270","very closely brushed the limit of statistical significance",1
"271","very narrowly missed significance",1
"272","very slightly significant",1
