"","labels","phrase","K","N","prev"
"52",1990,"fell just short of significance",1,19324,0.00517491202649555
"53",1990,"fell just short of statistical significance",5,19324,0.0258745601324777
"54",1990,"fell short of significance",2,19324,0.0103498240529911
"55",1990,"just failed to reach statistical significance",20,19324,0.103498240529911
"56",1990,"just fails to reach conventional levels of statistical significance",1,19324,0.00517491202649555
"57",1990,"just missed being statistically significant",1,19324,0.00517491202649555
"58",1990,"just short of significance",3,19324,0.0155247360794866
"59",1990,"likely to be significant",12,19324,0.0620989443179466
"60",1990,"marginal significance",21,19324,0.108673152556407
"61",1990,"marginally nonsignificant",1,19324,0.00517491202649555
"62",1990,"marginally significant",170,19324,0.879735044504243
"63",1990,"marginally statistically significant",8,19324,0.0413992962119644
"64",1990,"moderately significant",3,19324,0.0155247360794866
"65",1990,"modestly significant",3,19324,0.0155247360794866
"66",1990,"near significance",8,19324,0.0413992962119644
"67",1990,"near to statistical significance",1,19324,0.00517491202649555
"68",1990,"near-significant",21,19324,0.108673152556407
"69",1990,"nearly significant",55,19324,0.284620161457255
"70",1990,"nominally significant",7,19324,0.0362243841854688
"71",1990,"not as significant",8,19324,0.0413992962119644
"72",1990,"not clearly significant",1,19324,0.00517491202649555
"73",1990,"not conventionally significant",3,19324,0.0155247360794866
"74",1990,"not fully significant",2,19324,0.0103498240529911
"75",1990,"not quite reach the level of significance",1,19324,0.00517491202649555
"76",1990,"not quite significant",19,19324,0.0983233285034154
"77",1990,"not yet significant",4,19324,0.0206996481059822
"78",1990,"on the borderline of significance",4,19324,0.0206996481059822
"79",1990,"only marginally significant",26,19324,0.134547712688884
"80",1990,"partial significance",1,19324,0.00517491202649555
"81",1990,"partially significant",2,19324,0.0103498240529911
"82",1990,"partly significant",1,19324,0.00517491202649555
"83",1990,"possible significance",13,19324,0.0672738563444421
"84",1990,"possibly significant",4,19324,0.0206996481059822
"85",1990,"possibly statistically significant",2,19324,0.0103498240529911
"86",1990,"potentially significant",18,19324,0.0931484164769199
"87",1990,"practically significant",2,19324,0.0103498240529911
"88",1990,"probably not significant",10,19324,0.0517491202649555
"89",1990,"probably significant",6,19324,0.0310494721589733
"90",1990,"quite significant",30,19324,0.155247360794866
"91",1990,"reached borderline significance",4,19324,0.0206996481059822
"92",1990,"scarcely significant",1,19324,0.00517491202649555
"93",1990,"significant tendency",42,19324,0.217346305112813
"94",1990,"significantly significant",3,19324,0.0155247360794866
"95",1990,"slight significance",1,19324,0.00517491202649555
"96",1990,"slightly insignificant",1,19324,0.00517491202649555
"97",1990,"slightly significant",5,19324,0.0258745601324777
"98",1990,"tended to be significant",3,19324,0.0155247360794866
"99",1990,"tended toward significance",2,19324,0.0103498240529911
"100",1990,"tendency toward significance",1,19324,0.00517491202649555
"101",1990,"uncertain significance",7,19324,0.0362243841854688
"102",1990,"virtually significant",1,19324,0.00517491202649555
"103",1990,"weak significance",2,19324,0.0103498240529911
"104",1990,"weakly significant",2,19324,0.0103498240529911
"105",1993,"a clear trend",59,28476,0.207192021351313
"106",1993,"a decreasing trend",24,28476,0.0842815002107038
"107",1993,"a definite trend",13,28476,0.0456524792807979
"108",1993,"a favorable trend",12,28476,0.0421407501053519
"109",1993,"a favourable statistical trend",1,28476,0.00351172917544599
"110",1993,"a little significant",1,28476,0.00351172917544599
"111",1993,"a marginal trend",2,28476,0.00702345835089198
"112",1993,"a marked trend",3,28476,0.010535187526338
"113",1993,"a mild trend",4,28476,0.014046916701784
"114",1993,"a near-significant trend",1,28476,0.00351172917544599
"115",1993,"a negative trend",6,28476,0.0210703750526759
"116",1993,"a nonsignificant trend",108,28476,0.379266750948167
"117",1993,"a notable trend",1,28476,0.00351172917544599
"118",1993,"a numerical trend",2,28476,0.00702345835089198
"119",1993,"a positive trend",37,28476,0.129933979491502
"120",1993,"a possible trend",11,28476,0.0386290209299059
"121",1993,"a pronounced trend",1,28476,0.00351172917544599
"122",1993,"a significant trend",52,28476,0.182609917123191
"123",1993,"a slight trend",51,28476,0.179098187947745
"124",1993,"a small trend",9,28476,0.0316055625790139
"125",1993,"a statistical trend",21,28476,0.0737463126843658
"126",1993,"a strong trend",46,28476,0.161539542070516
"127",1993,"a strong trend toward significance",1,28476,0.00351172917544599
"128",1993,"a suggestive trend",1,28476,0.00351172917544599
"129",1993,"a weak trend",17,28476,0.0596993959825818
"130",1993,"all but significant",421,28476,1.47843798286276
"131",1993,"almost achieved significance",2,28476,0.00702345835089198
"132",1993,"almost attained significance",1,28476,0.00351172917544599
"133",1993,"almost reached statistical significance",14,28476,0.0491642084562439
"134",1993,"almost significant",63,28476,0.221238938053097
"135",1993,"almost statistically significant",7,28476,0.0245821042281219
"136",1993,"an apparent trend",7,28476,0.0245821042281219
"137",1993,"an encouraging trend",6,28476,0.0210703750526759
"138",1993,"an important trend",2,28476,0.00702345835089198
"139",1993,"an increasing trend",32,28476,0.112375333614272
"140",1993,"an interesting trend",5,28476,0.0175586458772299
"141",1993,"an observed trend",2,28476,0.00702345835089198
"142",1993,"an obvious trend",1,28476,0.00351172917544599
"143",1993,"an overall trend",14,28476,0.0491642084562439
"144",1993,"an unfavorable trend",1,28476,0.00351172917544599
"145",1993,"approached conventional levels of significance",2,28476,0.00702345835089198
"146",1993,"approached significant",4,28476,0.014046916701784
"147",1993,"approaches statistical significance",8,28476,0.0280938334035679
"148",1993,"approaching conventional significance levels",1,28476,0.00351172917544599
"149",1993,"approaching significance",28,28476,0.0983284169124877
"150",1993,"at the limit of significance",6,28476,0.0210703750526759
"151",1993,"barely missed statistical significance",1,28476,0.00351172917544599
"152",1993,"barely significant",11,28476,0.0386290209299059
"153",1993,"bordered on significant",1,28476,0.00351172917544599
"154",1993,"close to being significant",4,28476,0.014046916701784
"155",1993,"close to the limit of significance",1,28476,0.00351172917544599
"156",1993,"closely not significant",1,28476,0.00351172917544599
"157",1993,"did not quite achieve significance",1,28476,0.00351172917544599
"158",1993,"did not quite reach conventional levels of statistical significance",2,28476,0.00702345835089198
"159",1993,"did not quite reach statistical significance",27,28476,0.0948166877370417
"160",1993,"difference was apparent",41,28476,0.143980896193286
"161",1993,"failed to reach statistical significance",195,28476,0.684787189211968
"162",1993,"fairly significant",7,28476,0.0245821042281219
"163",1993,"fell just short of significance",3,28476,0.010535187526338
"164",1993,"fell just short of statistical significance",6,28476,0.0210703750526759
"165",1993,"fell short of significance",9,28476,0.0316055625790139
"166",1993,"just failed significance",2,28476,0.00702345835089198
"167",1993,"just failed to be significant",1,28476,0.00351172917544599
"168",1993,"just failed to reach statistical significance",47,28476,0.165051271245962
"169",1993,"just failing to reach statistical significance",1,28476,0.00351172917544599
"170",1993,"just marginally significant",1,28476,0.00351172917544599
"171",1993,"just short of significance",4,28476,0.014046916701784
"172",1993,"likely to be significant",23,28476,0.0807697710352578
"173",1993,"marginal significance",36,28476,0.126422250316056
"174",1993,"marginally insignificant",1,28476,0.00351172917544599
"175",1993,"marginally nonsignificant",4,28476,0.014046916701784
"176",1993,"marginally significant",274,28476,0.962213794072201
"177",1993,"marginally significant tendency",1,28476,0.00351172917544599
"178",1993,"marginally statistically significant",11,28476,0.0386290209299059
"179",1993,"moderately significant",8,28476,0.0280938334035679
"180",1993,"narrowly missed significance",1,28476,0.00351172917544599
"181",1993,"near significance",8,28476,0.0280938334035679
"182",1993,"near-significant",20,28476,0.0702345835089198
"183",1993,"nearly reached a significant level",2,28476,0.00702345835089198
"184",1993,"nearly significant",82,28476,0.287961792386571
"185",1993,"nominally significant",12,28476,0.0421407501053519
"186",1993,"not as significant",11,28476,0.0386290209299059
"187",1993,"not conventionally significant",2,28476,0.00702345835089198
"188",1993,"not highly significant",3,28476,0.010535187526338
"189",1993,"not quite reach the level of significance",1,28476,0.00351172917544599
"190",1993,"not quite significant",17,28476,0.0596993959825818
"191",1993,"not very significant",2,28476,0.00702345835089198
"192",1993,"not yet significant",5,28476,0.0175586458772299
"193",1993,"on the borderline of significance",1,28476,0.00351172917544599
"194",1993,"only marginally significant",51,28476,0.179098187947745
"195",1993,"possible significance",32,28476,0.112375333614272
"196",1993,"possibly significant",4,28476,0.014046916701784
"197",1993,"potentially significant",44,28476,0.154516083719624
"198",1993,"practically significant",5,28476,0.0175586458772299
"199",1993,"probably not significant",3,28476,0.010535187526338
"200",1993,"probably significant",6,28476,0.0210703750526759
"201",1993,"quite significant",29,28476,0.101840146087934
"202",1993,"reached borderline significance",10,28476,0.0351172917544599
"203",1993,"reached near significance",1,28476,0.00351172917544599
"204",1993,"scarcely significant",1,28476,0.00351172917544599
"205",1993,"significant tendency",71,28476,0.249332771456665
"206",1993,"significantly significant",4,28476,0.014046916701784
"207",1993,"slight significance",2,28476,0.00702345835089198
"208",1993,"slightly insignificant",1,28476,0.00351172917544599
"209",1993,"slightly not significant",1,28476,0.00351172917544599
"210",1993,"slightly significant",7,28476,0.0245821042281219
"211",1993,"strong trend toward significance",2,28476,0.00702345835089198
"212",1993,"suggestively significant",1,28476,0.00351172917544599
"213",1993,"tended to be significant",8,28476,0.0280938334035679
"214",1993,"tended toward significance",2,28476,0.00702345835089198
"215",1993,"tendency toward significance",2,28476,0.00702345835089198
"216",1993,"trend in the direction of significance",1,28476,0.00351172917544599
"217",1993,"uncertain significance",11,28476,0.0386290209299059
"218",1993,"very close to significant",1,28476,0.00351172917544599
"219",1993,"very nearly significant",1,28476,0.00351172917544599
"220",1993,"weak significance",2,28476,0.00702345835089198
"221",1993,"weakly significant",12,28476,0.0421407501053519
"222",1996,"a clear trend",57,37809,0.15075775608982
"223",1996,"a decreasing trend",39,37809,0.103150043640403
"224",1996,"a definite trend",16,37809,0.0423179666217038
"225",1996,"a favorable trend",17,37809,0.0449628395355603
"226",1996,"a marginal trend",3,37809,0.00793461874156947
"227",1996,"a marked trend",9,37809,0.0238038562247084
"228",1996,"a mild trend",1,37809,0.00264487291385649
"229",1996,"a near-significant trend",1,37809,0.00264487291385649
"230",1996,"a negative trend",11,37809,0.0290936020524214
"231",1996,"a nonsignificant trend",191,37809,0.505170726546589
"232",1996,"a nonsignificant trend toward significance",1,37809,0.00264487291385649
"233",1996,"a notable trend",1,37809,0.00264487291385649
"234",1996,"a numerical trend",8,37809,0.0211589833108519
"235",1996,"a positive trend",41,37809,0.108439789468116
"236",1996,"a possible trend",12,37809,0.0317384749662779
"237",1996,"a pronounced trend",2,37809,0.00528974582771298
"238",1996,"a reliable trend",4,37809,0.010579491655426
"239",1996,"a significant trend",70,37809,0.185141103969954
"240",1996,"a slight trend",76,37809,0.201010341453093
"241",1996,"a slightly increasing trend",1,37809,0.00264487291385649
"242",1996,"a small trend",11,37809,0.0290936020524214
"243",1996,"a statistical trend",34,37809,0.0899256790711206
"244",1996,"a statistical trend toward significance",1,37809,0.00264487291385649
"245",1996,"a strong trend",98,37809,0.259197545557936
"246",1996,"a strong trend toward significance",1,37809,0.00264487291385649
"247",1996,"a suggestive trend",4,37809,0.010579491655426
"248",1996,"a trend that approached significance",2,37809,0.00528974582771298
"249",1996,"a weak trend",19,37809,0.0502525853632733
"250",1996,"all but significant",504,37809,1.33301594858367
"251",1996,"almost approached significance",1,37809,0.00264487291385649
"252",1996,"almost attained significance",2,37809,0.00528974582771298
"253",1996,"almost reached statistical significance",19,37809,0.0502525853632733
"254",1996,"almost significant",60,37809,0.158692374831389
"255",1996,"almost significant tendency",1,37809,0.00264487291385649
"256",1996,"almost statistically significant",7,37809,0.0185141103969954
"257",1996,"an apparent trend",6,37809,0.0158692374831389
"258",1996,"an encouraging trend",2,37809,0.00528974582771298
"259",1996,"an established trend",1,37809,0.00264487291385649
"260",1996,"an evident trend",2,37809,0.00528974582771298
"261",1996,"an expected trend",1,37809,0.00264487291385649
"262",1996,"an important trend",3,37809,0.00793461874156947
"263",1996,"an increasing trend",41,37809,0.108439789468116
"264",1996,"an interesting trend",4,37809,0.010579491655426
"265",1996,"an observed trend",1,37809,0.00264487291385649
"266",1996,"an obvious trend",3,37809,0.00793461874156947
"267",1996,"an overall trend",29,37809,0.0767013145018382
"268",1996,"an unexpected trend",3,37809,0.00793461874156947
"269",1996,"an unfavorable trend",2,37809,0.00528974582771298
"270",1996,"approached significant",3,37809,0.00793461874156947
"271",1996,"approaches statistical significance",9,37809,0.0238038562247084
"272",1996,"approaching significance",45,37809,0.119019281123542
"273",1996,"at the edge of significance",1,37809,0.00264487291385649
"274",1996,"at the limit of significance",3,37809,0.00793461874156947
"275",1996,"barely escaped statistical significance",1,37809,0.00264487291385649
"276",1996,"barely missed statistical significance",2,37809,0.00528974582771298
"277",1996,"barely significant",12,37809,0.0317384749662779
"278",1996,"bordered on being statistically significant",1,37809,0.00264487291385649
"279",1996,"borderline significant trends",1,37809,0.00264487291385649
"280",1996,"close to being significant",9,37809,0.0238038562247084
"281",1996,"close to the level of significance",1,37809,0.00264487291385649
"282",1996,"close to the limit of significance",1,37809,0.00264487291385649
"283",1996,"did not quite achieve significance",3,37809,0.00793461874156947
"284",1996,"did not quite reach statistical significance",38,37809,0.100505170726547
"285",1996,"difference was apparent",42,37809,0.111084662381973
"286",1996,"failed to reach statistical significance",202,37809,0.534264328599011
"287",1996,"fairly significant",3,37809,0.00793461874156947
"288",1996,"fell barely short of significance",1,37809,0.00264487291385649
"289",1996,"fell just short of significance",2,37809,0.00528974582771298
"290",1996,"fell just short of statistical significance",3,37809,0.00793461874156947
"291",1996,"fell only marginally short of significance",1,37809,0.00264487291385649
"292",1996,"fell short of significance",11,37809,0.0290936020524214
"293",1996,"just escaped significance",1,37809,0.00264487291385649
"294",1996,"just failed significance",1,37809,0.00264487291385649
"295",1996,"just failed to be significant",3,37809,0.00793461874156947
"296",1996,"just failed to reach statistical significance",31,37809,0.0819910603295512
"297",1996,"just failing to reach statistical significance",1,37809,0.00264487291385649
"298",1996,"just missing significance",1,37809,0.00264487291385649
"299",1996,"just short of significance",6,37809,0.0158692374831389
"300",1996,"likely to be significant",34,37809,0.0899256790711206
"301",1996,"marginal significance",54,37809,0.14282313734825
"302",1996,"marginally insignificant",5,37809,0.0132243645692824
"303",1996,"marginally nonsignificant",4,37809,0.010579491655426
"304",1996,"marginally significant",463,37809,1.22457615911555
"305",1996,"marginally significant tendency",5,37809,0.0132243645692824
"306",1996,"marginally statistically significant",17,37809,0.0449628395355603
"307",1996,"moderately significant",8,37809,0.0211589833108519
"308",1996,"modestly significant",6,37809,0.0158692374831389
"309",1996,"narrowly missed significance",2,37809,0.00528974582771298
"310",1996,"near significance",9,37809,0.0238038562247084
"311",1996,"near to statistical significance",1,37809,0.00264487291385649
"312",1996,"near-significant",40,37809,0.10579491655426
"313",1996,"nearly significant",128,37809,0.338543732973631
"314",1996,"nearly significant tendency",1,37809,0.00264487291385649
"315",1996,"nominally significant",16,37809,0.0423179666217038
"316",1996,"not as significant",20,37809,0.0528974582771298
"317",1996,"not clearly significant",1,37809,0.00264487291385649
"318",1996,"not conventionally significant",4,37809,0.010579491655426
"319",1996,"not fully significant",1,37809,0.00264487291385649
"320",1996,"not highly significant",2,37809,0.00528974582771298
"321",1996,"not markedly significant",1,37809,0.00264487291385649
"322",1996,"not quite reach the level of significance",1,37809,0.00264487291385649
"323",1996,"not quite significant",28,37809,0.0740564415879817
"324",1996,"not significant by conventional standards",1,37809,0.00264487291385649
"325",1996,"not strongly significant",1,37809,0.00264487291385649
"326",1996,"not very significant",2,37809,0.00528974582771298
"327",1996,"not yet significant",3,37809,0.00793461874156947
"328",1996,"on the border of significance",1,37809,0.00264487291385649
"329",1996,"on the borderline of significance",3,37809,0.00793461874156947
"330",1996,"on the verge of significance",1,37809,0.00264487291385649
"331",1996,"only marginally significant",57,37809,0.15075775608982
"332",1996,"only slightly significant",2,37809,0.00528974582771298
"333",1996,"partially significant",1,37809,0.00264487291385649
"334",1996,"partly significant",2,37809,0.00528974582771298
"335",1996,"possible significance",44,37809,0.116374408209686
"336",1996,"possibly significant",11,37809,0.0290936020524214
"337",1996,"potentially significant",57,37809,0.15075775608982
"338",1996,"practically significant",5,37809,0.0132243645692824
"339",1996,"probably not significant",8,37809,0.0211589833108519
"340",1996,"probably significant",7,37809,0.0185141103969954
"341",1996,"quite significant",45,37809,0.119019281123542
"342",1996,"reached borderline significance",8,37809,0.0211589833108519
"343",1996,"significant tendency",110,37809,0.290936020524214
"344",1996,"significantly significant",9,37809,0.0238038562247084
"345",1996,"slight significance",1,37809,0.00264487291385649
"346",1996,"slightly significant",12,37809,0.0317384749662779
"347",1996,"somewhat significant",1,37809,0.00264487291385649
"348",1996,"strong trend toward significance",1,37809,0.00264487291385649
"349",1996,"suggestive of statistical significance",1,37809,0.00264487291385649
"350",1996,"tended to be significant",16,37809,0.0423179666217038
"351",1996,"tended toward significance",5,37809,0.0132243645692824
"352",1996,"tendency toward significance",1,37809,0.00264487291385649
"353",1996,"tendency toward statistical significance",3,37809,0.00793461874156947
"354",1996,"trending towards significance",1,37809,0.00264487291385649
"355",1996,"uncertain significance",20,37809,0.0528974582771298
"356",1996,"very close to significant",2,37809,0.00528974582771298
"357",1996,"very closely brushed the limit of statistical significance",1,37809,0.00264487291385649
"358",1996,"weak significance",1,37809,0.00264487291385649
"359",1996,"weakly significant",8,37809,0.0211589833108519
"360",1996,"weakly statistically significant",1,37809,0.00264487291385649
"361",1999,"a borderline significant trend",3,46311,0.00647794260542852
"362",1999,"a clear trend",114,46311,0.246161819006284
"363",1999,"a decreasing trend",35,46311,0.0755759970633327
"364",1999,"a definite trend",19,46311,0.0410269698343806
"365",1999,"a favorable trend",20,46311,0.0431862840361901
"366",1999,"a marginal trend",11,46311,0.0237524562199046
"367",1999,"a marked trend",9,46311,0.0194338278162855
"368",1999,"a mild trend",3,46311,0.00647794260542852
"369",1999,"a near-significant trend",2,46311,0.00431862840361901
"370",1999,"a negative trend",20,46311,0.0431862840361901
"371",1999,"a nonsignificant trend",274,46311,0.591652091295805
"372",1999,"a notable trend",6,46311,0.012955885210857
"373",1999,"a numerical trend",9,46311,0.0194338278162855
"374",1999,"a positive trend",69,46311,0.148992679924856
"375",1999,"a possible trend",15,46311,0.0323897130271426
"376",1999,"a pronounced trend",4,46311,0.00863725680723802
"377",1999,"a reliable trend",2,46311,0.00431862840361901
"378",1999,"a robust trend toward significance",1,46311,0.00215931420180951
"379",1999,"a significant trend",107,46311,0.231046619593617
"380",1999,"a slight trend",103,46311,0.222409362786379
"381",1999,"a small trend",15,46311,0.0323897130271426
"382",1999,"a statistical trend",50,46311,0.107965710090475
"383",1999,"a strong trend",148,46311,0.319578501867807
"384",1999,"a strong trend toward significance",2,46311,0.00431862840361901
"385",1999,"a suggestive trend",3,46311,0.00647794260542852
"386",1999,"a trend close to significance",1,46311,0.00215931420180951
"387",1999,"a weak trend",38,46311,0.0820539396687612
"388",1999,"all but significant",603,46311,1.30206646369113
"389",1999,"almost achieved significance",2,46311,0.00431862840361901
"390",1999,"almost attained significance",1,46311,0.00215931420180951
"391",1999,"almost reached statistical significance",18,46311,0.0388676556325711
"392",1999,"almost significant",68,46311,0.146833365723046
"393",1999,"almost statistically significant",8,46311,0.017274513614476
"394",1999,"an adverse trend",1,46311,0.00215931420180951
"395",1999,"an apparent trend",13,46311,0.0280710846235236
"396",1999,"an elevated trend",1,46311,0.00215931420180951
"397",1999,"an encouraging trend",1,46311,0.00215931420180951
"398",1999,"an established trend",1,46311,0.00215931420180951
"399",1999,"an evident trend",1,46311,0.00215931420180951
"400",1999,"an expected trend",2,46311,0.00431862840361901
"401",1999,"an important trend",5,46311,0.0107965710090475
"402",1999,"an increasing trend",66,46311,0.142514737319427
"403",1999,"an interesting trend",14,46311,0.0302303988253331
"404",1999,"an observed trend",2,46311,0.00431862840361901
"405",1999,"an obvious trend",12,46311,0.0259117704217141
"406",1999,"an overall trend",34,46311,0.0734166828615232
"407",1999,"an unexpected trend",2,46311,0.00431862840361901
"408",1999,"an unexplained trend",3,46311,0.00647794260542852
"409",1999,"an unfavorable trend",1,46311,0.00215931420180951
"410",1999,"appeared to be marginally significant",1,46311,0.00215931420180951
"411",1999,"approached conventional levels of significance",6,46311,0.012955885210857
"412",1999,"approached our criterion of significance",1,46311,0.00215931420180951
"413",1999,"approached significant",4,46311,0.00863725680723802
"414",1999,"approaches statistical significance",8,46311,0.017274513614476
"415",1999,"approaching significance",44,46311,0.0950098248796182
"416",1999,"at the limit of significance",8,46311,0.017274513614476
"417",1999,"barely missed statistical significance",2,46311,0.00431862840361901
"418",1999,"barely significant",17,46311,0.0367083414307616
"419",1999,"close to being significant",2,46311,0.00431862840361901
"420",1999,"did not quite achieve significance",1,46311,0.00215931420180951
"421",1999,"did not quite reach statistical significance",44,46311,0.0950098248796182
"422",1999,"difference was apparent",40,46311,0.0863725680723802
"423",1999,"effectively significant",1,46311,0.00215931420180951
"424",1999,"equivocal significance",2,46311,0.00431862840361901
"425",1999,"failed to reach statistical significance",269,46311,0.580855520286757
"426",1999,"fairly significant",4,46311,0.00863725680723802
"427",1999,"fell just short of significance",3,46311,0.00647794260542852
"428",1999,"fell just short of statistical significance",9,46311,0.0194338278162855
"429",1999,"fell narrowly short of significance",1,46311,0.00215931420180951
"430",1999,"fell short of significance",13,46311,0.0280710846235236
"431",1999,"just failed significance",2,46311,0.00431862840361901
"432",1999,"just failed to be significant",5,46311,0.0107965710090475
"433",1999,"just failed to reach statistical significance",31,46311,0.0669387402560947
"434",1999,"just failing to reach statistical significance",1,46311,0.00215931420180951
"435",1999,"just short of significance",9,46311,0.0194338278162855
"436",1999,"likely to be significant",34,46311,0.0734166828615232
"437",1999,"marginal significance",69,46311,0.148992679924856
"438",1999,"marginally insignificant",2,46311,0.00431862840361901
"439",1999,"marginally nonsignificant",6,46311,0.012955885210857
"440",1999,"marginally significant",527,46311,1.13795858435361
"441",1999,"marginally significant tendency",2,46311,0.00431862840361901
"442",1999,"marginally statistically significant",23,46311,0.0496642266416186
"443",1999,"moderately significant",10,46311,0.0215931420180951
"444",1999,"modestly significant",2,46311,0.00431862840361901
"445",1999,"narrowly failed significance",1,46311,0.00215931420180951
"446",1999,"narrowly missed significance",1,46311,0.00215931420180951
"447",1999,"near significance",10,46311,0.0215931420180951
"448",1999,"near to statistical significance",1,46311,0.00215931420180951
"449",1999,"near-significant",28,46311,0.0604607976506661
"450",1999,"nearly significant",102,46311,0.22025004858457
"451",1999,"nearly significant tendency",1,46311,0.00215931420180951
"452",1999,"nominally significant",23,46311,0.0496642266416186
"453",1999,"not as significant",16,46311,0.0345490272289521
"454",1999,"not clearly significant",1,46311,0.00215931420180951
"455",1999,"not conventionally significant",4,46311,0.00863725680723802
"456",1999,"not especially significant",1,46311,0.00215931420180951
"457",1999,"not highly significant",3,46311,0.00647794260542852
"458",1999,"not quite significant",27,46311,0.0583014834488566
"459",1999,"not strictly significant",1,46311,0.00215931420180951
"460",1999,"not strongly significant",1,46311,0.00215931420180951
"461",1999,"not that significant",1,46311,0.00215931420180951
"462",1999,"not very significant",4,46311,0.00863725680723802
"463",1999,"not yet significant",6,46311,0.012955885210857
"464",1999,"on the borderline of significance",3,46311,0.00647794260542852
"465",1999,"on the margin of significance",1,46311,0.00215931420180951
"466",1999,"only marginally significant",92,46311,0.198656906566475
"467",1999,"only slightly significant",3,46311,0.00647794260542852
"468",1999,"partial significance",2,46311,0.00431862840361901
"469",1999,"partially significant",2,46311,0.00431862840361901
"470",1999,"possible significance",38,46311,0.0820539396687612
"471",1999,"possibly significant",11,46311,0.0237524562199046
"472",1999,"potentially significant",67,46311,0.144674051521237
"473",1999,"practically significant",3,46311,0.00647794260542852
"474",1999,"probably not significant",7,46311,0.0151151994126665
"475",1999,"probably not statistically significant",1,46311,0.00215931420180951
"476",1999,"probably significant",5,46311,0.0107965710090475
"477",1999,"questionably significant",1,46311,0.00215931420180951
"478",1999,"quite significant",54,46311,0.116602966897713
"479",1999,"reached borderline significance",12,46311,0.0259117704217141
"480",1999,"reached near significance",1,46311,0.00215931420180951
"481",1999,"reasonably significant",2,46311,0.00431862840361901
"482",1999,"scarcely significant",1,46311,0.00215931420180951
"483",1999,"significant tendency",98,46311,0.211612791777331
"484",1999,"significantly significant",6,46311,0.012955885210857
"485",1999,"slight evidence of significance",1,46311,0.00215931420180951
"486",1999,"slight significance",1,46311,0.00215931420180951
"487",1999,"slightly insignificant",1,46311,0.00215931420180951
"488",1999,"slightly significant",13,46311,0.0280710846235236
"489",1999,"somewhat significant",2,46311,0.00431862840361901
"490",1999,"strong trend toward significance",2,46311,0.00431862840361901
"491",1999,"tended to be significant",25,46311,0.0539828550452376
"492",1999,"tended toward significance",8,46311,0.017274513614476
"493",1999,"tendency toward significance",4,46311,0.00863725680723802
"494",1999,"tendency toward statistical significance",1,46311,0.00215931420180951
"495",1999,"trend bordering on statistical significance",1,46311,0.00215931420180951
"496",1999,"trend significance level",2,46311,0.00431862840361901
"497",1999,"trending towards significance",1,46311,0.00215931420180951
