"","labels","phrase","K"
"159",1993,"did not quite reach statistical significance",29
"160",1993,"difference was apparent",42
"161",1993,"failed to reach statistical significance",223
"162",1993,"fairly significant",7
"163",1993,"fell just short of significance",8
"164",1993,"fell just short of statistical significance",6
"165",1993,"fell short of significance",9
"166",1993,"just failed significance",2
"167",1993,"just failed to be significant",1
"168",1993,"just failed to reach statistical significance",51
"169",1993,"just failing to reach statistical significance",2
"170",1993,"just marginally significant",1
"171",1993,"just short of significance",5
"172",1993,"likely to be significant",23
"173",1993,"marginal significance",39
"174",1993,"marginally insignificant",1
"175",1993,"marginally nonsignificant",4
"176",1993,"marginally significant",400
"177",1993,"marginally significant tendency",1
"178",1993,"marginally statistically significant",13
"179",1993,"moderately significant",9
"180",1993,"narrowly missed significance",1
"181",1993,"near significance",18
"182",1993,"near-significant",23
"183",1993,"nearly reached a significant level",2
"184",1993,"nearly significant",102
"185",1993,"nominally significant",15
"186",1993,"not as significant",11
"187",1993,"not conventionally significant",3
"188",1993,"not highly significant",3
"189",1993,"not quite reach the level of significance",1
"190",1993,"not quite significant",18
"191",1993,"not very significant",2
"192",1993,"not yet significant",5
"193",1993,"on the borderline of significance",2
"194",1993,"only marginally significant",58
"195",1993,"possible significance",33
"196",1993,"possibly significant",11
"197",1993,"potentially significant",45
"198",1993,"practically significant",5
"199",1993,"probably not significant",3
"200",1993,"probably significant",6
"201",1993,"quite significant",32
"202",1993,"reached borderline significance",11
"203",1993,"reached near significance",1
"204",1993,"scarcely significant",1
"205",1993,"significant tendency",77
"206",1993,"significantly significant",4
"207",1993,"slight significance",2
"208",1993,"slightly insignificant",1
"209",1993,"slightly not significant",1
"210",1993,"slightly significant",7
"211",1993,"strong trend toward significance",2
"212",1993,"suggestively significant",1
"213",1993,"tended to be significant",10
"214",1993,"tended toward significance",2
"215",1993,"tendency toward significance",2
"216",1993,"trend in the direction of significance",1
"217",1993,"uncertain significance",11
"218",1993,"very close to significant",1
"219",1993,"very nearly significant",1
"220",1993,"weak significance",2
"221",1993,"weakly significant",13
"222",1996,"a clear trend",70
"223",1996,"a decreasing trend",45
"224",1996,"a definite trend",18
"225",1996,"a favorable trend",18
"226",1996,"a marginal trend",3
"227",1996,"a marked trend",11
"228",1996,"a mild trend",1
"229",1996,"a near-significant trend",1
"230",1996,"a negative trend",15
"231",1996,"a nonsignificant trend",231
"232",1996,"a nonsignificant trend toward significance",1
"233",1996,"a notable trend",1
"234",1996,"a numerical trend",10
"235",1996,"a positive trend",47
"236",1996,"a possible trend",12
"237",1996,"a pronounced trend",2
"238",1996,"a reliable trend",5
"239",1996,"a significant trend",85
"240",1996,"a slight trend",82
"241",1996,"a slightly increasing trend",1
"242",1996,"a small trend",13
"243",1996,"a statistical trend",41
"244",1996,"a statistical trend toward significance",1
"245",1996,"a strong trend",120
"246",1996,"a strong trend toward significance",1
"247",1996,"a suggestive trend",6
"248",1996,"a trend that approached significance",2
"249",1996,"a weak trend",20
"250",1996,"all but significant",587
"251",1996,"almost approached significance",1
"252",1996,"almost attained significance",2
"253",1996,"almost reached statistical significance",23
"254",1996,"almost significant",81
"255",1996,"almost significant tendency",1
"256",1996,"almost statistically significant",7
"257",1996,"an apparent trend",6
"258",1996,"an encouraging trend",2
"259",1996,"an established trend",1
"260",1996,"an evident trend",2
"261",1996,"an expected trend",1
"262",1996,"an important trend",4
"263",1996,"an increasing trend",48
"264",1996,"an interesting trend",4
"265",1996,"an observed trend",1
"266",1996,"an obvious trend",3
"267",1996,"an overall trend",32
"268",1996,"an unexpected trend",3
"269",1996,"an unfavorable trend",2
"270",1996,"approached significant",3
"271",1996,"approaches statistical significance",10
"272",1996,"approaching significance",53
"273",1996,"at the edge of significance",1
"274",1996,"at the limit of significance",3
"275",1996,"barely escaped statistical significance",1
"276",1996,"barely missed statistical significance",2
"277",1996,"barely significant",12
"278",1996,"bordered on being statistically significant",1
"279",1996,"borderline significant trends",1
"280",1996,"close to being significant",11
"281",1996,"close to the level of significance",2
"282",1996,"close to the limit of significance",2
"283",1996,"did not quite achieve significance",4
"284",1996,"did not quite reach statistical significance",41
"285",1996,"difference was apparent",42
"286",1996,"failed to reach statistical significance",229
"287",1996,"fairly significant",3
"288",1996,"fell barely short of significance",1
"289",1996,"fell just short of significance",4
"290",1996,"fell just short of statistical significance",4
"291",1996,"fell only marginally short of significance",1
"292",1996,"fell short of significance",13
"293",1996,"just escaped significance",1
"294",1996,"just failed significance",1
"295",1996,"just failed to be significant",3
"296",1996,"just failed to reach statistical significance",35
"297",1996,"just failing to reach statistical significance",1
"298",1996,"just missing significance",1
"299",1996,"just short of significance",6
"300",1996,"likely to be significant",34
"301",1996,"marginal significance",67
"302",1996,"marginally insignificant",5
"303",1996,"marginally nonsignificant",4
"304",1996,"marginally significant",701
"305",1996,"marginally significant tendency",5
"306",1996,"marginally statistically significant",19
"307",1996,"moderately significant",9
"308",1996,"modestly significant",7
"309",1996,"narrowly missed significance",2
"310",1996,"near significance",40
"311",1996,"near to statistical significance",1
"312",1996,"near-significant",52
"313",1996,"nearly significant",171
"314",1996,"nearly significant tendency",2
"315",1996,"nominally significant",32
"316",1996,"not as significant",20
"317",1996,"not clearly significant",2
"318",1996,"not conventionally significant",4
"319",1996,"not fully significant",1
"320",1996,"not highly significant",2
"321",1996,"not markedly significant",1
"322",1996,"not quite reach the level of significance",1
"323",1996,"not quite significant",29
"324",1996,"not significant by conventional standards",1
"325",1996,"not strongly significant",1
"326",1996,"not very significant",2
"327",1996,"not yet significant",3
"328",1996,"on the border of significance",1
"329",1996,"on the borderline of significance",3
"330",1996,"on the verge of significance",3
"331",1996,"only marginally significant",66
"332",1996,"only slightly significant",2
"333",1996,"partially significant",1
"334",1996,"partly significant",3
"335",1996,"possible significance",46
"336",1996,"possibly significant",11
"337",1996,"potentially significant",65
"338",1996,"practically significant",7
"339",1996,"probably not significant",8
"340",1996,"probably significant",7
"341",1996,"quite significant",47
"342",1996,"reached borderline significance",10
"343",1996,"significant tendency",123
"344",1996,"significantly significant",9
"345",1996,"slight significance",1
"346",1996,"slightly significant",13
"347",1996,"somewhat significant",1
"348",1996,"strong trend toward significance",1
"349",1996,"suggestive of statistical significance",1
"350",1996,"tended to be significant",18
"351",1996,"tended toward significance",8
"352",1996,"tendency toward significance",1
"353",1996,"tendency toward statistical significance",3
"354",1996,"trending towards significance",1
"355",1996,"uncertain significance",23
"356",1996,"very close to significant",2
"357",1996,"very closely brushed the limit of statistical significance",1
"358",1996,"weak significance",1
"359",1996,"weakly significant",8
"360",1996,"weakly statistically significant",1
"361",1999,"a borderline significant trend",3
"362",1999,"a clear trend",126
"363",1999,"a decreasing trend",38
"364",1999,"a definite trend",20
"365",1999,"a favorable trend",21
"366",1999,"a marginal trend",13
"367",1999,"a marked trend",9
"368",1999,"a mild trend",3
"369",1999,"a near-significant trend",2
"370",1999,"a negative trend",21
"371",1999,"a nonsignificant trend",338
"372",1999,"a notable trend",6
"373",1999,"a numerical trend",11
"374",1999,"a positive trend",89
"375",1999,"a possible trend",19
"376",1999,"a pronounced trend",5
"377",1999,"a reliable trend",4
"378",1999,"a robust trend toward significance",1
"379",1999,"a significant trend",124
"380",1999,"a slight trend",110
"381",1999,"a small trend",15
"382",1999,"a statistical trend",71
"383",1999,"a strong trend",192
"384",1999,"a strong trend toward significance",2
"385",1999,"a suggestive trend",3
"386",1999,"a trend close to significance",1
"387",1999,"a weak trend",45
"388",1999,"all but significant",718
"389",1999,"almost achieved significance",2
"390",1999,"almost attained significance",1
"391",1999,"almost reached statistical significance",18
"392",1999,"almost significant",79
"393",1999,"almost statistically significant",9
"394",1999,"an adverse trend",1
"395",1999,"an apparent trend",13
"396",1999,"an elevated trend",1
"397",1999,"an encouraging trend",1
"398",1999,"an established trend",1
"399",1999,"an evident trend",1
"400",1999,"an expected trend",2
"401",1999,"an important trend",5
"402",1999,"an increasing trend",74
"403",1999,"an interesting trend",15
"404",1999,"an observed trend",2
"405",1999,"an obvious trend",12
"406",1999,"an overall trend",34
"407",1999,"an unexpected trend",2
"408",1999,"an unexplained trend",3
"409",1999,"an unfavorable trend",1
"410",1999,"appeared to be marginally significant",1
"411",1999,"approached conventional levels of significance",6
"412",1999,"approached our criterion of significance",1
"413",1999,"approached significant",5
"414",1999,"approaches statistical significance",9
"415",1999,"approaching significance",53
"416",1999,"at the limit of significance",9
"417",1999,"barely missed statistical significance",2
"418",1999,"barely significant",18
"419",1999,"close to being significant",2
"420",1999,"did not quite achieve significance",1
"421",1999,"did not quite reach statistical significance",48
"422",1999,"difference was apparent",40
"423",1999,"effectively significant",1
"424",1999,"equivocal significance",2
"425",1999,"failed to reach statistical significance",326
"426",1999,"fairly significant",6
"427",1999,"fell just short of significance",8
"428",1999,"fell just short of statistical significance",9
"429",1999,"fell narrowly short of significance",1
"430",1999,"fell short of significance",13
"431",1999,"just failed significance",2
"432",1999,"just failed to be significant",5
"433",1999,"just failed to reach statistical significance",37
"434",1999,"just failing to reach statistical significance",1
"435",1999,"just short of significance",10
"436",1999,"likely to be significant",35
"437",1999,"marginal significance",76
"438",1999,"marginally insignificant",3
"439",1999,"marginally nonsignificant",7
"440",1999,"marginally significant",834
"441",1999,"marginally significant tendency",2
"442",1999,"marginally statistically significant",32
"443",1999,"moderately significant",14
"444",1999,"modestly significant",2
"445",1999,"narrowly failed significance",1
"446",1999,"narrowly missed significance",2
"447",1999,"near significance",22
"448",1999,"near to statistical significance",1
"449",1999,"near-significant",39
"450",1999,"nearly significant",136
"451",1999,"nearly significant tendency",1
"452",1999,"nominally significant",25
"453",1999,"not as significant",16
"454",1999,"not clearly significant",1
"455",1999,"not conventionally significant",5
"456",1999,"not especially significant",1
"457",1999,"not highly significant",3
"458",1999,"not quite significant",33
"459",1999,"not strictly significant",1
"460",1999,"not strongly significant",1
"461",1999,"not that significant",1
"462",1999,"not very significant",4
"463",1999,"not yet significant",6
"464",1999,"on the borderline of significance",3
"465",1999,"on the margin of significance",1
"466",1999,"only marginally significant",104
"467",1999,"only slightly significant",3
"468",1999,"partial significance",2
"469",1999,"partially significant",2
"470",1999,"possible significance",38
"471",1999,"possibly significant",12
"472",1999,"potentially significant",68
"473",1999,"practically significant",3
"474",1999,"probably not significant",7
"475",1999,"probably not statistically significant",1
"476",1999,"probably significant",5
"477",1999,"questionably significant",1
"478",1999,"quite significant",61
"479",1999,"reached borderline significance",13
"480",1999,"reached near significance",1
"481",1999,"reasonably significant",2
"482",1999,"scarcely significant",1
"483",1999,"significant tendency",113
"484",1999,"significantly significant",6
"485",1999,"slight evidence of significance",1
"486",1999,"slight significance",1
"487",1999,"slightly insignificant",1
"488",1999,"slightly significant",14
"489",1999,"somewhat significant",3
"490",1999,"strong trend toward significance",2
"491",1999,"tended to be significant",26
"492",1999,"tended toward significance",10
"493",1999,"tendency toward significance",5
"494",1999,"tendency toward statistical significance",1
"495",1999,"trend bordering on statistical significance",2
"496",1999,"trend significance level",2
"497",1999,"trending towards significance",1
"498",1999,"uncertain significance",33
"499",1999,"very slightly significant",1
"500",1999,"weak significance",8
"501",1999,"weakened significance",1
"502",1999,"weakly significant",16
"503",2002,"a borderline significant trend",10
"504",2002,"a clear trend",157
"505",2002,"a decreasing trend",80
"506",2002,"a definite trend",22
"507",2002,"a favorable trend",25
"508",2002,"a marginal trend",9
"509",2002,"a marginal trend toward significance",1
"510",2002,"a marked trend",8
"511",2002,"a mild trend",4
"512",2002,"a near-significant trend",3
"513",2002,"a negative trend",21
"514",2002,"a nonsignificant trend",490
"515",2002,"a notable trend",10
"516",2002,"a numerical trend",16
"517",2002,"a positive trend",97
"518",2002,"a possible trend",18
"519",2002,"a pronounced trend",1
"520",2002,"a reliable trend",2
"521",2002,"a significant trend",151
"522",2002,"a slight trend",82
"523",2002,"a slight trend toward significance",1
"524",2002,"a slightly increasing trend",1
"525",2002,"a small trend",24
"526",2002,"a statistical trend",87
"527",2002,"a statistical trend toward significance",2
"528",2002,"a strong trend",212
"529",2002,"a strong trend toward significance",2
"530",2002,"a suggestive trend",2
"531",2002,"a very slight trend toward significance",1
"532",2002,"a weak trend",46
"533",2002,"a weak trend toward significance",3
"534",2002,"all but significant",961
"535",2002,"almost achieved significance",1
"536",2002,"almost insignificant",2
"537",2002,"almost reached statistical significance",32
"538",2002,"almost significant",108
"539",2002,"almost statistically significant",16
"540",2002,"an adverse trend",6
"541",2002,"an apparent trend",17
"542",2002,"an associative trend",1
"543",2002,"an encouraging trend",6
"544",2002,"an expected trend",3
"545",2002,"an important trend",6
"546",2002,"an increasing trend",84
"547",2002,"an interesting trend",14
"548",2002,"an obvious trend",13
"549",2002,"an overall trend",34
"550",2002,"an unexpected trend",3
"551",2002,"an unfavorable trend",2
"552",2002,"appeared to be marginally significant",1
"553",2002,"approached conventional levels of significance",6
"554",2002,"approached our criterion of significance",1
"555",2002,"approached significant",10
"556",2002,"approaches statistical significance",8
"557",2002,"approaching clinical significance",1
"558",2002,"approaching significance",95
"559",2002,"approximating significance",1
"560",2002,"arguably significant",1
"561",2002,"at the limit of significance",8
"562",2002,"at the margin of significance",1
"563",2002,"at the margin of statistical significance",2
"564",2002,"barely not statistically significant",1
"565",2002,"barely significant",16
"566",2002,"bordered on significant",1
"567",2002,"borderline level of statistical significance",1
"568",2002,"close to being significant",10
"569",2002,"close to the level of significance",5
"570",2002,"close to the limit of significance",2
"571",2002,"did not quite achieve significance",1
"572",2002,"did not quite reach statistical significance",47
"573",2002,"difference was apparent",49
"574",2002,"equivocal significance",1
"575",2002,"failed to reach statistical significance",343
"576",2002,"fairly significant",2
"577",2002,"fell just short of significance",22
"578",2002,"fell just short of statistical significance",11
"579",2002,"fell short of significance",47
"580",2002,"fell slightly short of significance",1
"581",2002,"just barely failed to reach significance",1
"582",2002,"just failed significance",1
"583",2002,"just failed to be significant",2
"584",2002,"just failed to reach statistical significance",33
"585",2002,"just failing to reach statistical significance",1
"586",2002,"just short of significance",14
"587",2002,"likely to be significant",56
"588",2002,"marginal significance",91
"589",2002,"marginally insignificant",4
"590",2002,"marginally nonsignificant",14
"591",2002,"marginally significant",1334
"592",2002,"marginally significant tendency",1
"593",2002,"marginally statistically significant",31
"594",2002,"moderately significant",13
"595",2002,"modestly significant",8
"596",2002,"narrowly missed significance",3
"597",2002,"near significance",40
"598",2002,"near to statistical significance",1
"599",2002,"near-significant",65
"600",2002,"nearing significance",9
"601",2002,"nearly significant",204
"602",2002,"nominally significant",40
"603",2002,"not as significant",15
"604",2002,"not clearly significant",3
"605",2002,"not conventionally significant",3
"606",2002,"not formally significant",3
"607",2002,"not fully significant",1
"608",2002,"not highly significant",3
"609",2002,"not quite significant",45
"610",2002,"not strongly significant",2
"611",2002,"not that significant",1
"612",2002,"not very significant",5
"613",2002,"not yet significant",4
"614",2002,"on the border of significance",3
"615",2002,"on the borderline of significance",3
"616",2002,"on the threshold of significance",1
"617",2002,"only marginally significant",155
"618",2002,"only slightly significant",3
"619",2002,"partially significant",2
"620",2002,"partly significant",2
"621",2002,"possible significance",30
"622",2002,"possibly significant",13
"623",2002,"potentially significant",108
"624",2002,"practically significant",12
"625",2002,"probably not significant",6
"626",2002,"probably significant",9
"627",2002,"quite significant",78
"628",2002,"reached borderline significance",20
"629",2002,"reached near significance",4
"630",2002,"reasonably significant",2
"631",2002,"significant tendency",129
"632",2002,"significantly significant",7
"633",2002,"slightly missed being of statistical significance",1
"634",2002,"slightly significant",20
"635",2002,"strong trend toward significance",3
"636",2002,"suggestive of statistical significance",1
"637",2002,"suggestively significant",7
"638",2002,"tended to be significant",54
"639",2002,"tended toward significance",10
"640",2002,"tendency toward significance",17
"641",2002,"tendency toward statistical significance",2
"642",2002,"trending towards significance",3
"643",2002,"uncertain significance",31
"644",2002,"very close to significant",1
"645",2002,"very nearly significant",1
"646",2002,"weak significance",5
"647",2002,"weakened significance",1
"648",2002,"weakly significant",24
"649",2002,"weakly statistically significant",4
"650",2005,"a borderline significant trend",2
"651",2005,"a clear trend",183
"652",2005,"a decreasing trend",99
"653",2005,"a definite trend",21
"654",2005,"a favorable trend",35
"655",2005,"a marginal trend",14
"656",2005,"a marked trend",8
"657",2005,"a mild trend",4
"658",2005,"a near-significant trend",2
"659",2005,"a negative trend",29
"660",2005,"a nonsignificant trend",580
"661",2005,"a nonsignificant trend toward significance",1
"662",2005,"a notable trend",6
"663",2005,"a numerical trend",24
"664",2005,"a positive trend",123
"665",2005,"a possible trend",26
"666",2005,"a pronounced trend",3
"667",2005,"a significant trend",180
"668",2005,"a slight trend",126
"669",2005,"a small trend",24
"670",2005,"a statistical trend",155
"671",2005,"a statistical trend toward significance",2
"672",2005,"a strong trend",312
"673",2005,"a strong trend toward significance",1
"674",2005,"a suggestive trend",22
"675",2005,"a weak trend",55
"676",2005,"all but significant",1031
"677",2005,"almost achieved significance",1
"678",2005,"almost approached significance",2
"679",2005,"almost attained significance",1
"680",2005,"almost became significant",1
"681",2005,"almost but not quite significant",1
"682",2005,"almost clinically significant",2
"683",2005,"almost insignificant",2
"684",2005,"almost reached statistical significance",36
"685",2005,"almost significant",156
"686",2005,"almost statistically significant",29
"687",2005,"an adverse trend",1
"688",2005,"an apparent trend",20
"689",2005,"an encouraging trend",2
"690",2005,"an established trend",1
"691",2005,"an evident trend",2
"692",2005,"an expected trend",2
"693",2005,"an important trend",7
"694",2005,"an increasing trend",116
"695",2005,"an interesting trend",15
"696",2005,"an observed trend",7
"697",2005,"an obvious trend",10
"698",2005,"an overall trend",54
"699",2005,"an unexpected trend",4
"700",2005,"an unexplained trend",1
"701",2005,"appeared to be marginally significant",2
"702",2005,"approached conventional levels of significance",6
"703",2005,"approached significant",2
"704",2005,"approaches statistical significance",5
"705",2005,"approaching marginal significance",1
"706",2005,"approaching significance",104
"707",2005,"approaching, but not reaching, significance",1
"708",2005,"arguably significant",1
"709",2005,"at the limit of significance",8
"710",2005,"at the margin of statistical significance",3
"711",2005,"barely significant",11
"712",2005,"bordered on being significant",1
"713",2005,"borderline conventional significance",1
"714",2005,"borderline level of statistical significance",1
"715",2005,"close to being significant",18
"716",2005,"close to the level of significance",3
"717",2005,"close to the limit of significance",1
"718",2005,"did not quite achieve significance",3
"719",2005,"did not quite reach statistical significance",47
"720",2005,"difference was apparent",62
"721",2005,"essentially significant",1
"722",2005,"failed to reach statistical significance",372
"723",2005,"fairly significant",7
"724",2005,"fell just short of significance",12
"725",2005,"fell just short of statistical significance",13
"726",2005,"fell short of significance",30
"727",2005,"in the verge of significance",1
"728",2005,"indeterminate significance",1
"729",2005,"just beyond significance",1
"730",2005,"just borderline significant",1
"731",2005,"just failed significance",5
"732",2005,"just failed to be significant",1
"733",2005,"just failed to reach statistical significance",32
"734",2005,"just marginally significant",1
"735",2005,"just missed being statistically significant",1
"736",2005,"just short of significance",9
"737",2005,"just shy of significance",1
"738",2005,"likely to be significant",55
"739",2005,"marginal significance",127
"740",2005,"marginally insignificant",5
"741",2005,"marginally nonsignificant",21
"742",2005,"marginally significant",1543
"743",2005,"marginally significant tendency",8
"744",2005,"marginally statistically significant",53
"745",2005,"moderately significant",22
"746",2005,"modestly significant",7
"747",2005,"narrowly missed significance",5
"748",2005,"near significance",44
"749",2005,"near to statistical significance",1
"750",2005,"near-significant",82
"751",2005,"nearing significance",4
"752",2005,"nearly reaching the level of significance",1
"753",2005,"nearly significant",199
"754",2005,"nearly significant tendency",2
"755",2005,"nominally significant",110
"756",2005,"not as significant",18
"757",2005,"not clearly significant",1
"758",2005,"not conventionally significant",2
"759",2005,"not formally significant",2
"760",2005,"not globally significant",1
"761",2005,"not highly significant",2
"762",2005,"not quite significant",36
"763",2005,"not strictly significant",1
"764",2005,"not that significant",1
"765",2005,"not very significant",8
"766",2005,"not yet significant",4
"767",2005,"on the border of significance",2
"768",2005,"on the borderline of significance",6
"769",2005,"on the edge of significance",1
"770",2005,"on the margin of significance",2
"771",2005,"on the threshold of significance",2
"772",2005,"only marginally significant",191
"773",2005,"only slightly missed the significance level",1
"774",2005,"only slightly significant",2
"775",2005,"partially significant",1
"776",2005,"possible significance",38
"777",2005,"possibly significant",12
"778",2005,"possibly statistically significant",1
"779",2005,"potentially significant",155
"780",2005,"practically significant",17
"781",2005,"probably not significant",9
"782",2005,"probably significant",9
"783",2005,"questionably significant",2
"784",2005,"quite significant",82
"785",2005,"reached borderline significance",24
"786",2005,"reached near significance",4
"787",2005,"reasonably significant",1
"788",2005,"significant tendency",185
"789",2005,"significantly significant",12
"790",2005,"slightly outside the range of significance",1
"791",2005,"slightly significant",26
"792",2005,"somewhat significant",5
"793",2005,"strong trend toward significance",1
"794",2005,"suggestively significant",2
"795",2005,"tend to significant",3
"796",2005,"tended to be significant",51
"797",2005,"tended toward significance",11
"798",2005,"tendency toward significance",10
"799",2005,"tendency toward statistical significance",6
"800",2005,"trending towards significance",2
"801",2005,"uncertain significance",63
"802",2005,"very close to significant",2
"803",2005,"weak significance",4
"804",2005,"weakly significant",32
"805",2008,"a borderline significant trend",4
"806",2008,"a clear trend",196
"807",2008,"a decreasing trend",148
"808",2008,"a definite trend",11
"809",2008,"a favorable trend",41
"810",2008,"a marginal trend",12
"811",2008,"a marginal trend toward significance",1
"812",2008,"a marked trend",8
"813",2008,"a mild trend",7
"814",2008,"a near-significant trend",2
"815",2008,"a negative trend",46
"816",2008,"a nonsignificant trend",625
"817",2008,"a notable trend",6
"818",2008,"a numerical trend",19
"819",2008,"a positive trend",143
"820",2008,"a possible trend",40
"821",2008,"a possible trend toward significance",1
"822",2008,"a pronounced trend",3
"823",2008,"a reliable trend",1
"824",2008,"a significant trend",168
"825",2008,"a slight trend",115
"826",2008,"a slight trend toward significance",1
"827",2008,"a slightly increasing trend",2
"828",2008,"a small trend",30
"829",2008,"a statistical trend",148
"830",2008,"a statistical trend toward significance",1
"831",2008,"a strong trend",309
"832",2008,"a strong trend toward significance",8
"833",2008,"a suggestive trend",3
"834",2008,"a trend significance level",1
"835",2008,"a trend that approached significance",4
"836",2008,"a weak trend",50
"837",2008,"a worrying trend",1
"838",2008,"all but significant",975
"839",2008,"almost achieved significance",1
"840",2008,"almost clinically significant",2
"841",2008,"almost reached statistical significance",26
"842",2008,"almost significant",93
"843",2008,"almost statistically significant",13
"844",2008,"an adverse trend",5
"845",2008,"an apparent trend",24
"846",2008,"an encouraging trend",7
"847",2008,"an evident trend",2
"848",2008,"an expected trend",2
"849",2008,"an important trend",6
"850",2008,"an increasing trend",148
"851",2008,"an interesting trend",19
"852",2008,"an observed trend",13
"853",2008,"an obvious trend",4
"854",2008,"an overall trend",53
"855",2008,"an unexpected trend",3
"856",2008,"an unexplained trend",1
