"","pmid","year","labels","phrase","highest_pvalue","group"
"101",10978404,2000,1999,"""a positive trend""",0.08,">=0.05-0.15"
"105",11227128,2001,1999,"""a positive trend""",0.08,">=0.05-0.15"
"106",11238481,2001,1999,"""a positive trend""",0.07,">=0.05-0.15"
"107",11238481,2001,1999,"""a positive trend""",0.07,">=0.05-0.15"
"113",11890185,2002,2002,"""a positive trend""",0.1,">=0.15"
"115",11935073,2002,2002,"""a positive trend""",0.096,">=0.05-0.15"
"117",12108859,2002,2002,"""a positive trend""",0.1,">=0.15"
"118",12137237,2002,2002,"""a positive trend""",0.097,">=0.05-0.15"
"120",12221158,2002,2002,"""a positive trend""",0.069,">=0.05-0.15"
"121",12649315,2003,2002,"""a positive trend""",0.08,">=0.05-0.15"
"123",12904840,2003,2002,"""a positive trend""",0.13,">=0.15"
"124",12915674,2003,2002,"""a positive trend""",0.07,">=0.05-0.15"
"125",14609161,2003,2002,"""a positive trend""",0.06,">=0.05-0.15"
"130",15111377,2004,2002,"""a positive trend""",0.07,">=0.05-0.15"
"132",15489467,2004,2002,"""a positive trend""",0.1,">=0.15"
"133",15585213,2005,2005,"""a positive trend""",0.096,">=0.05-0.15"
"134",15689192,2005,2005,"""a positive trend""",0.077,">=0.05-0.15"
"135",15750360,2005,2005,"""a positive trend""",0.1,">=0.15"
"136",15750360,2005,2005,"""a positive trend""",0.1,">=0.15"
"137",15750360,2005,2005,"""a positive trend""",0.1,">=0.15"
"138",15750360,2005,2005,"""a positive trend""",0.1,">=0.15"
"139",15792677,2005,2005,"""a positive trend""",0.07,">=0.05-0.15"
"141",15849543,2005,2005,"""a positive trend""",0.068,">=0.05-0.15"
"143",15906123,2005,2005,"""a positive trend""",0.073,">=0.05-0.15"
"144",15923791,2005,2005,"""a positive trend""",0.123,">=0.15"
"145",16157900,2005,2005,"""a positive trend""",0.069,">=0.05-0.15"
"146",16192584,2005,2005,"""a positive trend""",0.16,">=0.15"
"148",16390295,2006,2005,"""a positive trend""",0.1,">=0.15"
"152",16776747,2006,2005,"""a positive trend""",0.078,">=0.05-0.15"
"153",16862445,2006,2005,"""a positive trend""",0.001,"<0.05"
"157",17519427,2007,2005,"""a positive trend""",1e-04,"<0.05"
"162",17885013,2007,2005,"""a positive trend""",1e-04,"<0.05"
"167",18261664,2008,2008,"""a positive trend""",0.11,">=0.15"
"168",18322263,2008,2008,"""a positive trend""",0.056,">=0.05-0.15"
"172",18349709,2008,2008,"""a positive trend""",0.1,">=0.15"
"174",18703571,2009,2008,"""a positive trend""",0.05,">=0.05-0.15"
"175",18798236,2008,2008,"""a positive trend""",0.025,"<0.05"
"177",18922425,2008,2008,"""a positive trend""",0.054,">=0.05-0.15"
"179",19077853,2008,2008,"""a positive trend""",0.07,">=0.05-0.15"
"183",19276620,2009,2008,"""a positive trend""",0.05,">=0.05-0.15"
"184",19442777,2009,2008,"""a positive trend""",1e-04,"<0.05"
"189",19887625,2010,2008,"""a positive trend""",0.0663,">=0.05-0.15"
"190",19945181,2011,2011,"""a positive trend""",0.07,">=0.05-0.15"
"191",19958132,2009,2008,"""a positive trend""",0.01,"<0.05"
"192",20069533,2010,2008,"""a positive trend""",0.09,">=0.05-0.15"
"195",20216430,2010,2008,"""a positive trend""",0.066,">=0.05-0.15"
"196",20498251,2010,2008,"""a positive trend""",0.06,">=0.05-0.15"
"199",20803609,2011,2011,"""a positive trend""",0.1,">=0.15"
"200",20803609,2011,2011,"""a positive trend""",0.1,">=0.15"
"201",20805762,2011,2011,"""a positive trend""",0.05,">=0.05-0.15"
"203",21087125,2011,2011,"""a positive trend""",0.03,"<0.05"
"204",21126827,2011,2011,"""a positive trend""",0.006,"<0.05"
"205",21127322,2011,2011,"""a positive trend""",0.07,">=0.05-0.15"
"206",21142586,2011,2011,"""a positive trend""",0.07,">=0.05-0.15"
"207",21157026,2011,2011,"""a positive trend""",0.07,">=0.05-0.15"
"208",21173169,2011,2011,"""a positive trend""",0.01,"<0.05"
"211",21318604,2011,2011,"""a positive trend""",0.1,">=0.15"
"212",21343386,2011,2011,"""a positive trend""",0.079,">=0.05-0.15"
"214",21450115,2011,2011,"""a positive trend""",0.1,">=0.15"
"215",21518437,2011,2011,"""a positive trend""",3e-04,"<0.05"
"216",21612429,2011,2011,"""a positive trend""",0.06,">=0.05-0.15"
"217",21630176,2011,2011,"""a positive trend""",0.06,">=0.05-0.15"
"219",21690465,2011,2011,"""a positive trend""",0.03,"<0.05"
"220",21702044,2012,2011,"""a positive trend""",0.0846,">=0.05-0.15"
"222",21717444,2012,2011,"""a positive trend""",0.017,"<0.05"
"223",21749636,2011,2011,"""a positive trend""",0.05,">=0.05-0.15"
"224",21795438,2011,2011,"""a positive trend""",0.05,">=0.05-0.15"
"227",21986640,2011,2011,"""a positive trend""",0.01,"<0.05"
"228",21996194,2011,2011,"""a positive trend""",0.17,">=0.15"
"230",22065170,2012,2011,"""a positive trend""",0.071,">=0.05-0.15"
"231",22080632,2012,2011,"""a positive trend""",0.06,">=0.05-0.15"
"232",22252901,2012,2011,"""a positive trend""",0.072,">=0.05-0.15"
"234",22334085,2012,2011,"""a positive trend""",0.06,">=0.05-0.15"
"235",22364430,2012,2011,"""a positive trend""",0.06,">=0.05-0.15"
"236",22404879,2013,2011,"""a positive trend""",0.079,">=0.05-0.15"
"239",22722511,2012,2011,"""a positive trend""",0.058,">=0.05-0.15"
"240",22789872,2013,2011,"""a positive trend""",0.001,"<0.05"
"241",22802629,2012,2011,"""a positive trend""",0.11,">=0.15"
"243",22920577,2012,2011,"""a positive trend""",0.07,">=0.05-0.15"
"245",23025138,2012,2011,"""a positive trend""",0.074,">=0.05-0.15"
"248",23335291,2013,2011,"""a positive trend""",0.06,">=0.05-0.15"
"250",23445692,2012,2011,"""a positive trend""",0.05,">=0.05-0.15"
"254",23647914,2013,2011,"""a positive trend""",0.06,">=0.05-0.15"
"258",23979353,2013,2011,"""a positive trend""",0.051,">=0.05-0.15"
"259",23979353,2013,2011,"""a positive trend""",0.07,">=0.05-0.15"
"260",24132359,2013,2011,"""a positive trend""",0.024,"<0.05"
"262",24223175,2013,2011,"""a positive trend""",0.144,">=0.15"
"263",24231018,2013,2011,"""a positive trend""",0.068,">=0.05-0.15"
"264",24488560,2014,2014,"""a positive trend""",0.15,">=0.15"
"266",24576844,2014,2014,"""a positive trend""",0.06,">=0.05-0.15"
"268",24655228,2014,2014,"""a positive trend""",0.06,">=0.05-0.15"
"271",24779522,2014,2014,"""a positive trend""",0.095,">=0.05-0.15"
"274",24915543,2016,2014,"""a positive trend""",0.08,">=0.05-0.15"
"275",24942954,2014,2014,"""a positive trend""",0.1263,">=0.15"
"276",24995271,2014,2014,"""a positive trend""",0.2188,">=0.15"
"277",24996223,2014,2014,"""a positive trend""",0.018,"<0.05"
"278",24998293,2014,2014,"""a positive trend""",0.081,">=0.05-0.15"
"279",24998293,2014,2014,"""a positive trend""",0.081,">=0.05-0.15"
"280",24998293,2014,2014,"""a positive trend""",0.081,">=0.05-0.15"
"281",25033137,2014,2014,"""a positive trend""",0.1,">=0.15"
"282",25084967,2014,2014,"""a positive trend""",0.001,"<0.05"
"283",25132248,2015,2014,"""a positive trend""",0.066,">=0.05-0.15"
"285",25209003,2014,2014,"""a positive trend""",0.06,">=0.05-0.15"
"286",25278093,2015,2014,"""a positive trend""",0.08,">=0.05-0.15"
"288",25325925,2014,2014,"""a positive trend""",0.0615,">=0.05-0.15"
"290",25456503,2015,2014,"""a positive trend""",0.039,"<0.05"
"291",25500320,2015,2014,"""a positive trend""",0.05,">=0.05-0.15"
"297",25770879,2015,2014,"""a positive trend""",0.001,"<0.05"
"299",25846715,2015,2014,"""a positive trend""",0.08,">=0.05-0.15"
"301",25893991,2015,2014,"""a positive trend""",0.05,">=0.05-0.15"
"302",25946376,2015,2014,"""a positive trend""",0.058,">=0.05-0.15"
"303",26116159,2015,2014,"""a positive trend""",0.09,">=0.05-0.15"
"304",26218521,2015,2014,"""a positive trend""",0.026,"<0.05"
"305",26259770,2015,2014,"""a positive trend""",0.025,"<0.05"
"306",26350448,2015,2014,"""a positive trend""",0.07,">=0.05-0.15"
"308",26362893,2016,2014,"""a positive trend""",0.04,"<0.05"
"309",26459321,2015,2014,"""a positive trend""",0.015,"<0.05"
"310",26579704,2016,2014,"""a positive trend""",0.07,">=0.05-0.15"
"313",26652904,2016,2014,"""a positive trend""",0.07,">=0.05-0.15"
"314",26656140,2016,2014,"""a positive trend""",0.001,"<0.05"
"315",26666500,2016,2014,"""a positive trend""",0.095,">=0.05-0.15"
"316",26867060,2016,2014,"""a positive trend""",0.058,">=0.05-0.15"
"317",26908434,2016,2014,"""a positive trend""",0.004,"<0.05"
"323",27027250,2016,2014,"""a positive trend""",0.08,">=0.05-0.15"
"324",27146668,2016,2014,"""a positive trend""",0.565,">=0.15"
"325",27221567,2016,2014,"""a positive trend""",0.078,">=0.05-0.15"
"327",27221567,2016,2014,"""a positive trend""",0.078,">=0.05-0.15"
"329",27258231,2016,2014,"""a positive trend""",0.08,">=0.05-0.15"
"332",27487406,2016,2014,"""a positive trend""",0.05,">=0.05-0.15"
"333",27504605,2016,2014,"""a positive trend""",0.05,">=0.05-0.15"
"334",27535131,2017,2017,"""a positive trend""",0.07,">=0.05-0.15"
"340",28249254,2017,2017,"""a positive trend""",0.08,">=0.05-0.15"
"341",28315068,2017,2017,"""a positive trend""",0.185,">=0.15"
"342",28384237,2017,2017,"""a positive trend""",0.1,">=0.15"
"344",28423407,2017,2017,"""a positive trend""",0.05,">=0.05-0.15"
"345",28490871,2017,2017,"""a positive trend""",0.06,">=0.05-0.15"
"346",28490871,2017,2017,"""a positive trend""",0.06,">=0.05-0.15"
"351",28627793,2018,2017,"""a positive trend""",0.08,">=0.05-0.15"
"355",29024304,2018,2017,"""a positive trend""",0.065,">=0.05-0.15"
"357",29146995,2017,2017,"""a positive trend""",0.08,">=0.05-0.15"
"359",29231984,2018,2017,"""a positive trend""",0.06,">=0.05-0.15"
"360",29256337,2017,2017,"""a positive trend""",0.08,">=0.05-0.15"
"361",29322594,2018,2017,"""a positive trend""",0.097,">=0.05-0.15"
"362",29322594,2018,2017,"""a positive trend""",0.097,">=0.05-0.15"
"365",29497287,2018,2017,"""a positive trend""",0.1,">=0.15"
"366",29497287,2018,2017,"""a positive trend""",0.1,">=0.15"
"368",29729687,2019,2017,"""a positive trend""",0.06,">=0.05-0.15"
"369",29800408,2018,2017,"""a positive trend""",0.058,">=0.05-0.15"
"370",29981298,2018,2017,"""a positive trend""",0.059,">=0.05-0.15"
"371",30058726,2019,2017,"""a positive trend""",0.03,"<0.05"
"372",30286300,2019,2017,"""a positive trend""",0.01,"<0.05"
"373",30419066,2018,2017,"""a positive trend""",0.02,"<0.05"
"377",30716132,2019,2017,"""a positive trend""",0.05,">=0.05-0.15"
"379",30811709,2019,2017,"""a positive trend""",0.05,">=0.05-0.15"
"380",30822490,2019,2017,"""a positive trend""",0.2,">=0.15"
"381",30822490,2019,2017,"""a positive trend""",0.2,">=0.15"
"386",31016796,2019,2017,"""a positive trend""",0.06,">=0.05-0.15"
"387",31100620,2019,2017,"""a positive trend""",0.01,"<0.05"
"388",31188825,2019,2017,"""a positive trend""",0.206,">=0.15"
"389",31203233,2019,2017,"""a positive trend""",0.07,">=0.05-0.15"
"390",31203233,2019,2017,"""a positive trend""",0.06,">=0.05-0.15"
"394",31309239,2019,2017,"""a positive trend""",0.077,">=0.05-0.15"
"397",31760565,2019,2017,"""a positive trend""",0.07,">=0.05-0.15"
"398",31760565,2019,2017,"""a positive trend""",0.06,">=0.05-0.15"
"401",31960952,2020,2020,"""a positive trend""",0.041,"<0.05"
"406",1322621,1992,1990,"""all but significant""",0.001,"<0.05"
"407",1333087,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"408",1346301,1992,1990,"""all but significant""",0.026,"<0.05"
"409",1354616,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"414",1424850,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"415",1430286,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"419",1481177,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"420",1526085,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"423",1550073,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"424",1550410,1992,1990,"""all but significant""",0.02,"<0.05"
"425",1550700,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"426",1565181,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"431",1627368,1992,1990,"""all but significant""",0.001,"<0.05"
"432",1633064,1992,1990,"""all but significant""",1e-04,"<0.05"
"433",1640282,1992,1990,"""all but significant""",0.001,"<0.05"
"434",1653594,1991,1990,"""all but significant""",0.01,"<0.05"
"435",1673587,1991,1990,"""all but significant""",0.01,"<0.05"
"436",1673587,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"437",1679391,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"439",1682543,1991,1990,"""all but significant""",0.01,"<0.05"
"440",1682593,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"444",1739873,1992,1990,"""all but significant""",0.05,">=0.05-0.15"
"445",1740587,1992,1990,"""all but significant""",0.01,"<0.05"
"446",1780205,1991,1990,"""all but significant""",0.029,"<0.05"
"447",1793782,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"449",1826806,1991,1990,"""all but significant""",0.02,"<0.05"
"450",1826806,1991,1990,"""all but significant""",0.04,"<0.05"
"452",1828348,1991,1990,"""all but significant""",0.01,"<0.05"
"453",1834049,1991,1990,"""all but significant""",0.001,"<0.05"
"457",1848170,1991,1990,"""all but significant""",0.001,"<0.05"
"460",1863827,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"461",1899435,1991,1990,"""all but significant""",0.02,"<0.05"
"464",1912105,1991,1990,"""all but significant""",0.05,">=0.05-0.15"
"466",1958475,1991,1990,"""all but significant""",0.04,"<0.05"
"468",1992876,1991,1990,"""all but significant""",0.03,"<0.05"
"469",2024567,1991,1990,"""all but significant""",0.001,"<0.05"
"473",2060561,1991,1990,"""all but significant""",0.01,"<0.05"
"474",2069776,1991,1990,"""all but significant""",0.02,"<0.05"
"476",2076733,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"477",2081498,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"480",2137976,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"481",2140346,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"485",2167800,1990,1990,"""all but significant""",0.005,"<0.05"
"486",2170963,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"488",2174312,1990,1990,"""all but significant""",0.02,"<0.05"
"493",2202385,1990,1990,"""all but significant""",0.007,"<0.05"
"495",2227247,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"497",2253528,1990,1990,"""all but significant""",0.02,"<0.05"
"499",2285635,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"500",2301986,1990,1990,"""all but significant""",0.001,"<0.05"
"501",2371077,1990,1990,"""all but significant""",0.05,">=0.05-0.15"
"502",7475819,1995,1993,"""all but significant""",0.02,"<0.05"
"504",7536157,1994,1993,"""all but significant""",0.001,"<0.05"
"507",7554545,1995,1993,"""all but significant""",0.001,"<0.05"
"508",7554545,1995,1993,"""all but significant""",0.02,"<0.05"
"512",7589016,1995,1993,"""all but significant""",0.01,"<0.05"
"514",7589046,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"515",7589046,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"516",7595953,1995,1993,"""all but significant""",0.012,"<0.05"
"518",7600744,1995,1993,"""all but significant""",0.03,"<0.05"
"519",7601916,1995,1993,"""all but significant""",0.01,"<0.05"
"521",7607932,1995,1993,"""all but significant""",0.01,"<0.05"
"525",7630650,1995,1993,"""all but significant""",0.015,"<0.05"
"526",7633704,1995,1993,"""all but significant""",0.03,"<0.05"
"528",7634503,1995,1993,"""all but significant""",0.03,"<0.05"
"530",7649930,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"531",7649930,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"532",7651074,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"533",7651074,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"536",7656141,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"538",7669374,1995,1993,"""all but significant""",0.044,"<0.05"
"540",7671878,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"542",7673540,1995,1993,"""all but significant""",0.005,"<0.05"
"545",7687807,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"547",7696059,1995,1993,"""all but significant""",0.002,"<0.05"
"548",7701449,1995,1993,"""all but significant""",0.1,">=0.15"
"549",7701449,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"550",7705113,1995,1993,"""all but significant""",0.01,"<0.05"
"551",7705113,1995,1993,"""all but significant""",0.01,"<0.05"
"557",7760608,1995,1993,"""all but significant""",0.17,">=0.15"
"560",7768249,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"562",7813219,1994,1993,"""all but significant""",0.02,"<0.05"
"566",7847099,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"570",7862918,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"576",7890253,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"577",7898991,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"578",7906279,1994,1993,"""all but significant""",0.01,"<0.05"
"582",7942538,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"583",7942576,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"584",7943220,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"587",7955181,1994,1993,"""all but significant""",0.01,"<0.05"
"588",7956612,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"589",7957147,1994,1993,"""all but significant""",0.01,"<0.05"
"591",7962459,1994,1993,"""all but significant""",0.001,"<0.05"
"595",8018457,1994,1993,"""all but significant""",0.005,"<0.05"
"596",8018457,1994,1993,"""all but significant""",0.005,"<0.05"
"597",8018457,1994,1993,"""all but significant""",0.005,"<0.05"
"598",8018531,1994,1993,"""all but significant""",0.007,"<0.05"
"599",8018531,1994,1993,"""all but significant""",0.007,"<0.05"
"600",8023964,1994,1993,"""all but significant""",0.02,"<0.05"
"601",8028506,1994,1993,"""all but significant""",0.01,"<0.05"
"602",8028511,1994,1993,"""all but significant""",0.01,"<0.05"
"605",8063650,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"606",8063650,1994,1993,"""all but significant""",0.01,"<0.05"
"608",8090608,1994,1993,"""all but significant""",0.001,"<0.05"
"609",8090608,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"610",8098293,1993,1993,"""all but significant""",0.03,"<0.05"
"612",8112187,1994,1993,"""all but significant""",0.03,"<0.05"
"613",8112187,1994,1993,"""all but significant""",0.006,"<0.05"
"614",8112187,1994,1993,"""all but significant""",0.009,"<0.05"
"616",8120290,1994,1993,"""all but significant""",0.01,"<0.05"
"617",8121291,1994,1993,"""all but significant""",0.459,">=0.15"
"625",8177016,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"626",8179047,1994,1993,"""all but significant""",0.05,">=0.05-0.15"
"627",8188888,1994,1993,"""all but significant""",0.01,"<0.05"
"628",8188888,1994,1993,"""all but significant""",0.02,"<0.05"
"631",8238379,1993,1993,"""all but significant""",0.001,"<0.05"
"640",8363164,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"641",8383058,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"642",8404803,1993,1993,"""all but significant""",0.002,"<0.05"
"643",8409072,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"649",8451526,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"651",8456759,1993,1993,"""all but significant""",0.015,"<0.05"
"654",8491393,1993,1993,"""all but significant""",0.005,"<0.05"
"655",8496328,1993,1993,"""all but significant""",0.05,">=0.05-0.15"
"659",8529380,1995,1993,"""all but significant""",0.018,"<0.05"
"660",8531541,1996,1996,"""all but significant""",0.01,"<0.05"
"661",8538479,1995,1993,"""all but significant""",0.01,"<0.05"
"662",8548055,1995,1993,"""all but significant""",0.01,"<0.05"
"663",8566836,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"664",8567514,1995,1993,"""all but significant""",0.02,"<0.05"
"665",8577941,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"666",8598422,1995,1993,"""all but significant""",0.04,"<0.05"
"668",8607227,1996,1996,"""all but significant""",0.001,"<0.05"
"671",8628543,1996,1996,"""all but significant""",0.006,"<0.05"
"676",8653389,1996,1996,"""all but significant""",0.01,"<0.05"
"678",8653990,1996,1996,"""all but significant""",0.04,"<0.05"
"679",8655889,1996,1996,"""all but significant""",0.005,"<0.05"
"680",8672319,1995,1993,"""all but significant""",0.001,"<0.05"
"682",8719534,1995,1993,"""all but significant""",0.01,"<0.05"
"685",8727676,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"686",8727676,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"691",8759045,1996,1996,"""all but significant""",1e-04,"<0.05"
"692",8768852,1996,1996,"""all but significant""",0.001,"<0.05"
"694",8777102,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"695",8789567,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"696",8795476,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"699",8822352,1996,1996,"""all but significant""",0.01,"<0.05"
"700",8822437,1995,1993,"""all but significant""",0.001,"<0.05"
"702",8840904,1996,1996,"""all but significant""",0.01,"<0.05"
"704",8847950,1995,1993,"""all but significant""",0.05,">=0.05-0.15"
"708",8855804,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"709",8855804,1996,1996,"""all but significant""",0.04,"<0.05"
"711",8890801,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"712",8897030,1996,1996,"""all but significant""",9e-04,"<0.05"
"713",8904258,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"714",8904569,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"715",8910235,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"716",8910235,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"717",8910240,1996,1996,"""all but significant""",0.05,">=0.05-0.15"
"722",8931917,1996,1996,"""all but significant""",0.13,">=0.15"
"723",8932983,1996,1996,"""all but significant""",0.025,"<0.05"
"726",8969393,1996,1996,"""all but significant""",0.012,"<0.05"
"728",8991296,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
"733",9052286,1997,1996,"""all but significant""",0.003,"<0.05"
"734",9059098,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
"735",9059318,1997,1996,"""all but significant""",0.005,"<0.05"
"736",9059318,1997,1996,"""all but significant""",0.001,"<0.05"
"737",9059318,1997,1996,"""all but significant""",0.005,"<0.05"
"742",9105566,1997,1996,"""all but significant""",0.02,"<0.05"
"744",9131703,1997,1996,"""all but significant""",0.04,"<0.05"
"745",9160944,1997,1996,"""all but significant""",7e-04,"<0.05"
"747",9176177,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
"756",9223067,1997,1996,"""all but significant""",0.044,"<0.05"
"757",9229284,1997,1996,"""all but significant""",0.039,"<0.05"
"758",9236673,1997,1996,"""all but significant""",0.0376,"<0.05"
"759",9236673,1997,1996,"""all but significant""",0.004,"<0.05"
"760",9236673,1997,1996,"""all but significant""",0.0105,"<0.05"
"762",9257790,1997,1996,"""all but significant""",0.025,"<0.05"
"764",9277650,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
"765",9277650,1997,1996,"""all but significant""",0.001,"<0.05"
"766",9277650,1997,1996,"""all but significant""",0.001,"<0.05"
"772",9322562,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
"778",9375320,1997,1996,"""all but significant""",0.04,"<0.05"
"779",9377132,1997,1996,"""all but significant""",0.007,"<0.05"
"781",9389899,1997,1996,"""all but significant""",0.05,">=0.05-0.15"
